,Education,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Married,Children,time_spent,total_purchase,total_campaigns
46,0.0,7500.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,26.0,1.0,0.0,122.0,10.0,0.0
47,1.0,41728.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,54.0,1.0,1.0,55.0,5.0,0.0
48,1.0,45001.2,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4.0,6.0,71.0,0.0,3.0,124.0,10.0,0.0
49,2.0,72550.0,826.0,50.0,317.0,50.0,38.0,38.0,9.0,5.0,2.0,12.0,8.0,68.0,1.0,2.0,1319.0,28.0,0.0
50,1.0,65486.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,65.0,0.0,1.0,507.0,17.0,0.0
51,2.0,79143.0,650.0,37.0,780.0,27.0,167.0,32.0,1.0,6.0,9.0,13.0,3.0,58.0,1.0,0.0,1693.0,29.0,0.0
52,1.0,35790.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,45.0,0.0,1.0,72.0,7.0,0.0
53,1.0,82582.0,510.0,120.0,550.0,156.0,40.0,241.0,1.0,4.0,9.0,7.0,1.0,45.0,0.0,0.0,1617.0,21.0,2.0
54,1.0,66373.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,44.0,1.0,2.0,606.0,23.0,0.0
55,2.0,82384.0,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13.0,1.0,67.0,1.0,0.0,1957.0,27.0,1.0
56,1.0,70287.0,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10.0,3.0,56.0,0.0,0.0,1093.0,21.0,0.0
57,1.0,27938.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,34.0,0.0,1.0,29.0,6.0,0.0
58,1.0,27469.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,40.0,0.0,1.0,46.0,7.0,0.0
59,2.0,55954.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,54.0,1.0,1.0,518.0,19.0,0.0
60,2.0,75777.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,40.0,0.0,0.0,1438.0,21.0,2.0
61,1.0,66653.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,47.0,1.0,2.0,612.0,22.0,0.0
62,1.0,61823.0,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10.0,7.0,70.0,0.0,1.0,884.0,24.0,0.0
63,2.0,67680.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,71.0,0.0,1.0,606.0,19.0,0.0
64,1.0,70666.0,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4.0,4.0,74.0,1.0,0.0,1076.0,16.0,0.0
65,1.0,25721.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,51.0,1.0,1.0,34.0,5.0,0.0
66,1.0,32474.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,55.0,1.0,2.0,11.0,4.0,0.0
67,0.0,88194.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,43.0,0.0,1.0,1274.0,32.0,2.0
68,1.0,69096.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,64.0,1.0,1.0,653.0,18.0,0.0
69,1.0,74854.0,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5.0,5.0,52.0,1.0,3.0,1562.0,19.0,0.0
70,2.0,66991.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,68.0,1.0,0.0,1253.0,21.0,0.0
71,0.0,33296.6,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3.0,8.0,49.0,1.0,1.0,109.0,9.0,0.0
72,1.0,65031.0,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,63.0,1.0,1.0,863.0,30.0,0.0
73,2.0,60631.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,47.0,1.0,2.0,661.0,24.0,1.0
74,1.0,28332.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,70.0,1.0,0.0,65.0,8.0,0.0
75,1.0,40246.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,45.0,0.0,1.0,13.0,4.0,0.0
76,2.0,75251.0,721.0,111.0,925.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,50.0,1.0,0.0,1890.0,19.0,0.0
77,1.0,75825.0,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9.0,4.0,46.0,0.0,0.0,2209.0,22.0,1.0
78,0.0,26326.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,46.0,1.0,0.0,18.0,4.0,0.0
79,1.0,56046.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,57.0,1.0,0.0,692.0,21.0,1.0
80,1.0,29760.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,37.0,0.0,1.0,165.0,12.0,0.0
81,1.0,26304.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,53.0,1.0,1.0,16.0,4.0,0.0
82,0.0,23559.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,49.0,1.0,1.0,79.0,9.0,0.0
83,2.0,38620.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,59.0,1.0,0.0,318.0,11.0,0.0
84,1.0,81361.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,35.0,0.0,0.0,778.0,27.0,0.0
85,1.0,29440.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,62.0,1.0,2.0,56.0,7.0,0.0
86,2.0,36138.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,52.0,1.0,2.0,151.0,13.0,1.0
87,1.0,50388.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,65.0,0.0,1.0,372.0,17.0,2.0
88,1.0,79593.0,350.0,60.0,568.0,110.0,133.0,145.0,1.0,5.0,6.0,7.0,2.0,49.0,1.0,0.0,1366.0,19.0,1.0
89,1.0,54178.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,55.0,1.0,1.0,194.0,10.0,0.0
90,2.0,60831.2,230.0,42.0,192.0,49.0,37.0,53.0,12.0,7.0,2.0,8.0,9.0,65.0,1.0,3.0,603.0,29.0,0.0
91,1.0,36783.4,7.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,65.0,0.0,2.0,18.0,4.0,0.0
92,2.0,67917.0,445.0,37.0,359.0,98.0,28.0,18.0,1.0,2.0,4.0,8.0,1.0,49.0,1.0,0.0,985.0,15.0,0.0
93,2.0,42394.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,50.0,0.0,1.0,32.0,5.0,0.0
94,2.0,23626.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,52.0,1.0,1.0,43.0,10.0,0.0
95,1.0,30096.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,39.0,1.0,1.0,45.0,6.0,0.0
96,1.0,47916.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,62.0,0.0,1.0,606.0,22.0,1.0
97,1.0,51813.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,50.0,0.0,2.0,63.0,7.0,0.0
98,0.0,78497.0,207.0,26.0,447.0,75.0,0.0,223.0,1.0,5.0,7.0,12.0,2.0,71.0,1.0,0.0,978.0,25.0,1.0
99,2.0,50150.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,39.0,1.0,0.0,410.0,16.0,0.0
100,0.0,47823.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,62.0,0.0,1.0,72.0,7.0,0.0
101,2.0,34554.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,63.0,0.0,1.0,55.0,7.0,0.0
102,1.0,85693.0,386.0,172.0,183.0,185.0,132.0,111.0,2.0,9.0,5.0,11.0,5.0,43.0,1.0,1.0,1169.0,27.0,0.0
103,2.0,65846.0,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,77.0,1.0,0.0,1120.0,16.0,0.0
104,1.0,87195.0,217.0,76.0,690.0,50.0,26.0,38.0,1.0,3.0,11.0,5.0,1.0,63.0,1.0,0.0,1097.0,20.0,0.0
105,0.0,24594.0,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3.0,5.0,43.0,1.0,1.0,29.0,5.0,0.0
106,1.0,49096.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,58.0,1.0,2.0,187.0,13.0,0.0
107,1.0,52413.0,295.0,106.0,271.0,75.0,98.0,65.0,4.0,6.0,4.0,12.0,6.0,53.0,1.0,2.0,910.0,26.0,0.0
108,1.0,38557.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,44.0,0.0,1.0,145.0,9.0,0.0
109,2.0,89058.0,454.0,194.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,62.0,1.0,0.0,850.0,14.0,0.0
110,1.0,77298.0,425.0,115.0,292.0,23.0,35.0,79.0,1.0,6.0,6.0,11.0,3.0,43.0,1.0,1.0,969.0,24.0,0.0
111,2.0,68126.0,1332.0,17.0,311.0,23.0,51.0,86.0,1.0,7.0,4.0,5.0,9.0,31.0,0.0,0.0,1820.0,17.0,1.0
112,2.0,57288.0,527.0,0.0,21.0,0.0,0.0,60.0,3.0,8.0,1.0,8.0,6.0,59.0,1.0,1.0,608.0,20.0,1.0
113,1.0,86037.0,490.0,44.0,125.0,29.0,20.0,22.0,1.0,6.0,7.0,11.0,3.0,31.0,0.0,0.0,730.0,25.0,2.0
114,2.0,43974.0,378.0,0.0,101.0,0.0,0.0,72.0,5.0,6.0,4.0,6.0,7.0,42.0,1.0,1.0,551.0,21.0,0.0
115,1.0,50785.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,60.0,0.0,2.0,114.0,8.0,0.0
116,1.0,90765.0,547.0,99.0,812.0,151.0,82.0,33.0,0.0,4.0,6.0,5.0,1.0,52.0,1.0,0.0,1724.0,15.0,2.0
117,0.0,36550.0,47.0,90.0,94.0,123.0,103.0,120.0,5.0,9.0,1.0,5.0,9.0,44.0,1.0,1.0,577.0,20.0,0.0
118,0.0,30753.0,12.0,5.0,25.0,0.0,9.0,30.0,2.0,1.0,1.0,3.0,5.0,55.0,1.0,2.0,81.0,7.0,0.0
119,1.0,21918.0,1.0,6.0,7.0,11.0,5.0,3.0,2.0,2.0,0.0,3.0,6.0,53.0,1.0,1.0,33.0,7.0,0.0
120,2.0,56129.0,320.0,48.0,133.0,39.0,72.0,48.0,4.0,6.0,2.0,10.0,4.0,69.0,1.0,1.0,660.0,22.0,0.0
121,2.0,32557.0,34.0,3.0,29.0,0.0,4.0,10.0,3.0,2.0,1.0,3.0,5.0,55.0,0.0,1.0,80.0,9.0,0.0
122,2.0,19510.0,9.0,0.0,7.0,3.0,4.0,7.0,2.0,1.0,0.0,3.0,7.0,37.0,1.0,2.0,30.0,6.0,0.0
123,1.0,30992.0,17.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,46.0,0.0,1.0,43.0,5.0,0.0
124,1.0,101970.0,722.0,27.0,102.0,44.0,72.0,168.0,0.0,6.0,8.0,13.0,2.0,39.0,0.0,0.0,1135.0,27.0,3.0
125,0.0,71488.0,162.0,33.0,124.0,40.0,28.0,172.0,2.0,3.0,4.0,7.0,1.0,57.0,1.0,0.0,559.0,16.0,0.0
126,1.0,79607.0,450.0,133.0,951.0,173.0,0.0,216.0,1.0,3.0,6.0,6.0,1.0,38.0,0.0,0.0,1923.0,16.0,0.0
127,2.0,54348.0,70.0,0.0,16.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,6.0,69.0,1.0,2.0,90.0,8.0,0.0
128,2.0,59120.2,352.0,0.0,27.0,10.0,0.0,15.0,3.0,6.0,1.0,7.0,6.0,61.0,1.0,1.0,404.0,17.0,0.0
129,2.0,77376.0,492.0,19.0,110.0,16.0,12.0,12.0,4.0,6.0,3.0,10.0,4.0,66.0,1.0,2.0,661.0,23.0,0.0
130,1.0,62998.0,120.0,58.0,73.0,65.0,89.0,58.0,5.0,5.0,4.0,5.0,5.0,70.0,1.0,1.0,463.0,19.0,0.0
131,2.0,61331.0,534.0,5.0,47.0,0.0,5.0,41.0,5.0,11.0,1.0,6.0,8.0,64.0,0.0,2.0,632.0,23.0,0.0
132,1.0,73448.0,236.0,106.0,189.0,23.0,41.0,130.0,1.0,7.0,2.0,9.0,4.0,53.0,1.0,0.0,725.0,19.0,0.0
133,1.0,61000.2,231.0,65.0,196.0,38.0,71.0,124.0,1.0,6.0,5.0,7.0,4.0,59.0,1.0,1.0,725.0,19.0,0.0
134,2.0,41551.0,220.0,0.0,33.0,3.0,0.0,23.0,5.0,5.0,1.0,5.0,8.0,58.0,1.0,2.0,279.0,16.0,0.0
135,2.0,62981.0,796.0,14.0,590.0,38.0,44.0,0.0,1.0,4.0,5.0,13.0,3.0,55.0,1.0,0.0,1482.0,23.0,1.0
136,0.0,9548.0,0.0,1.0,3.0,10.0,6.0,9.0,2.0,1.0,0.0,3.0,8.0,46.0,0.0,1.0,29.0,6.0,0.0
137,2.0,33762.0,53.0,1.0,34.0,2.0,0.0,16.0,3.0,2.0,2.0,2.0,8.0,63.0,1.0,3.0,106.0,9.0,0.0
138,2.0,35860.0,15.0,0.0,8.0,4.0,2.0,20.0,2.0,1.0,1.0,2.0,5.0,49.0,0.0,2.0,49.0,6.0,1.0
139,2.0,36921.0,17.0,1.0,12.0,3.0,1.0,4.0,2.0,2.0,0.0,3.0,7.0,57.0,0.0,2.0,38.0,7.0,0.0
140,2.0,92859.0,962.0,61.0,921.0,52.0,61.0,20.0,1.0,5.0,4.0,12.0,2.0,30.0,0.0,0.0,2077.0,22.0,0.0
141,2.0,65104.0,738.0,0.0,232.0,13.0,20.0,50.0,2.0,3.0,5.0,7.0,7.0,46.0,1.0,1.0,1053.0,17.0,0.0
142,1.0,86111.0,399.0,28.0,756.0,36.0,40.0,126.0,1.0,5.0,7.0,10.0,2.0,60.0,1.0,0.0,1385.0,23.0,0.0
143,2.0,68352.0,614.0,16.0,132.0,43.0,33.0,33.0,3.0,8.0,5.0,9.0,6.0,48.0,0.0,1.0,871.0,25.0,0.0
144,1.0,41883.0,32.0,34.0,41.0,73.0,16.0,116.0,3.0,4.0,2.0,3.0,7.0,34.0,1.0,1.0,312.0,12.0,0.0
145,1.0,59809.0,598.0,16.0,141.0,32.0,41.0,49.0,3.0,3.0,3.0,6.0,8.0,46.0,1.0,2.0,877.0,15.0,0.0
146,1.0,23957.0,2.0,1.0,18.0,20.0,11.0,16.0,1.0,2.0,0.0,3.0,6.0,47.0,1.0,1.0,68.0,6.0,0.0
147,1.0,38547.0,6.0,1.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,8.0,41.0,1.0,1.0,22.0,4.0,0.0
148,0.0,35688.0,73.0,3.0,90.0,12.0,1.0,32.0,7.0,4.0,1.0,4.0,8.0,49.0,1.0,3.0,211.0,16.0,0.0
149,2.0,49605.0,42.0,16.0,29.0,12.0,20.0,8.0,1.0,2.0,1.0,4.0,3.0,56.0,1.0,0.0,127.0,8.0,0.0
150,2.0,59354.0,295.0,21.0,78.0,39.0,13.0,13.0,1.0,4.0,4.0,7.0,3.0,69.0,1.0,2.0,459.0,16.0,0.0
151,1.0,65747.0,346.0,17.0,48.0,23.0,13.0,13.0,4.0,8.0,1.0,6.0,6.0,53.0,1.0,1.0,460.0,19.0,1.0
152,0.0,46344.0,233.0,20.0,57.0,8.0,20.0,91.0,4.0,7.0,1.0,5.0,7.0,50.0,1.0,1.0,429.0,17.0,0.0
153,1.0,34176.0,5.0,7.0,24.0,19.0,14.0,20.0,4.0,3.0,0.0,4.0,6.0,34.0,0.0,1.0,89.0,11.0,0.0
154,2.0,61010.0,888.0,0.0,57.0,0.0,0.0,76.0,2.0,8.0,5.0,11.0,5.0,70.0,1.0,1.0,1021.0,26.0,0.0
155,1.0,69372.0,997.0,26.0,269.0,34.0,13.0,42.0,1.0,10.0,4.0,6.0,4.0,73.0,1.0,0.0,1381.0,21.0,2.0
156,1.0,49967.0,212.0,6.0,69.0,4.0,12.0,3.0,3.0,6.0,1.0,5.0,7.0,64.0,0.0,1.0,306.0,15.0,0.0
157,1.0,60199.0,8.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,44.0,0.0,3.0,18.0,4.0,0.0
158,1.0,55375.0,42.0,11.0,57.0,10.0,28.0,14.0,1.0,1.0,1.0,6.0,2.0,45.0,1.0,1.0,162.0,9.0,0.0
159,1.0,80317.0,536.0,11.0,387.0,149.0,91.0,57.0,1.0,3.0,4.0,10.0,1.0,67.0,0.0,0.0,1231.0,18.0,0.0
160,2.0,30523.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,7.0,64.0,0.0,3.0,13.0,4.0,0.0
161,2.0,70356.0,1349.0,16.0,249.0,43.0,16.0,33.0,2.0,10.0,6.0,9.0,6.0,77.0,1.0,0.0,1706.0,27.0,0.0
162,1.0,23228.0,53.0,3.0,49.0,7.0,4.0,5.0,4.0,3.0,0.0,4.0,8.0,38.0,1.0,1.0,121.0,11.0,0.0
163,2.0,74165.0,1001.0,12.0,240.0,16.0,12.0,12.0,1.0,5.0,4.0,10.0,2.0,47.0,0.0,0.0,1293.0,20.0,0.0
165,1.0,43482.0,18.0,1.0,32.0,6.0,3.0,28.0,3.0,2.0,0.0,4.0,6.0,56.0,1.0,3.0,88.0,9.0,0.0
166,1.0,62551.0,125.0,16.0,98.0,134.0,21.0,27.0,1.0,6.0,7.0,4.0,3.0,69.0,0.0,0.0,421.0,18.0,1.0
167,1.0,52332.0,212.0,5.0,33.0,7.0,0.0,2.0,1.0,3.0,2.0,6.0,4.0,63.0,0.0,0.0,259.0,12.0,1.0
168,1.0,66951.0,277.0,162.0,305.0,173.0,76.0,124.0,1.0,3.0,4.0,7.0,1.0,34.0,0.0,0.0,1117.0,15.0,0.0
169,1.0,26091.0,15.0,10.0,19.0,8.0,17.0,20.0,3.0,2.0,1.0,3.0,5.0,65.0,1.0,2.0,89.0,9.0,0.0
170,1.0,33456.0,7.0,3.0,10.0,8.0,1.0,7.0,2.0,1.0,0.0,3.0,7.0,57.0,1.0,2.0,36.0,6.0,0.0
171,1.0,28718.0,12.0,4.0,6.0,11.0,8.0,16.0,2.0,2.0,0.0,3.0,8.0,40.0,1.0,1.0,57.0,7.0,0.0
172,1.0,50447.0,85.0,7.0,24.0,2.0,3.0,27.0,1.0,3.0,1.0,3.0,6.0,52.0,1.0,2.0,148.0,8.0,0.0
173,2.0,53537.0,81.0,0.0,6.0,0.0,0.0,6.0,2.0,2.0,1.0,3.0,5.0,63.0,1.0,2.0,93.0,8.0,0.0
